State,,Concerned,Slightly concerned,Somewhat anxious and/or scared,Totally fine,Very anxious and/or scared,Grand Total
,5,0.00%,0.00%,66.67%,0.00%,33.33%,100.00%
,LA,11.76%,0.00%,41.18%,0.00%,47.06%,100.00%
,2,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%
,3,0.00%,0.00%,50.00%,0.00%,50.00%,100.00%
,4,0.00%,0.00%,50.00%,0.00%,50.00%,100.00%
,5,28.57%,0.00%,42.86%,0.00%,28.57%,100.00%
,MA,32.64%,5.56%,39.58%,0.69%,21.53%,100.00%
,2,26.47%,5.88%,44.12%,0.00%,23.53%,100.00%
,3,29.17%,4.17%,45.83%,0.00%,20.83%,100.00%
,4,41.30%,4.35%,30.43%,0.00%,23.91%,100.00%
,5,30.00%,7.50%,42.50%,2.50%,17.50%,100.00%
,MD,30.14%,5.48%,39.73%,2.74%,21.92%,100.00%
,2,25.00%,8.33%,33.33%,8.33%,25.00%,100.00%
,3,58.33%,0.00%,16.67%,0.00%,25.00%,100.00%
,4,24.00%,4.00%,44.00%,4.00%,24.00%,100.00%
,5,25.00%,8.33%,50.00%,0.00%,16.67%,100.00%
,ME,20.00%,6.67%,33.33%,0.00%,40.00%,100.00%
,2,40.00%,0.00%,20.00%,0.00%,40.00%,100.00%
,3,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%
,4,20.00%,0.00%,20.00%,0.00%,60.00%,100.00%
,5,0.00%,0.00%,75.00%,0.00%,25.00%,100.00%
,MI,28.57%,8.16%,36.73%,4.08%,22.45%,100.00%
,2,10.00%,10.00%,40.00%,10.00%,30.00%,100.00%
,3,30.77%,0.00%,38.46%,7.69%,23.08%,100.00%
,4,26.67%,6.67%,40.00%,0.00%,26.67%,100.00%
,5,45.45%,18.18%,27.27%,0.00%,9.09%,100.00%
,MN,37.50%,8.33%,31.25%,4.17%,18.75%,100.00%
,2,50.00%,0.00%,25.00%,0.00%,25.00%,100.00%
,3,41.67%,0.00%,25.00%,16.67%,16.67%,100.00%
,4,33.33%,33.33%,22.22%,0.00%,11.11%,100.00%
,5,31.58%,5.26%,42.11%,0.00%,21.05%,100.00%
,MO,30.77%,10.26%,46.15%,7.69%,5.13%,100.00%
,2,25.00%,25.00%,50.00%,0.00%,0.00%,100.00%
,3,25.00%,25.00%,50.00%,0.00%,0.00%,100.00%
,4,20.00%,10.00%,50.00%,10.00%,10.00%,100.00%
,5,41.18%,0.00%,41.18%,11.76%,5.88%,100.00%
,MS,20.00%,0.00%,40.00%,0.00%,40.00%,100.00%
,2,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,3,33.33%,0.00%,33.33%,0.00%,33.33%,100.00%
,4,0.00%,0.00%,50.00%,0.00%,50.00%,100.00%
,5,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,MT,50.00%,0.00%,0.00%,0.00%,50.00%,100.00%
,2,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,3,50.00%,0.00%,0.00%,0.00%,50.00%,100.00%
,4,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,5,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,NC,30.65%,8.06%,46.77%,1.61%,12.90%,100.00%
,2,30.77%,7.69%,46.15%,0.00%,15.38%,100.00%
,3,38.46%,7.69%,23.08%,7.69%,23.08%,100.00%
,4,26.09%,0.00%,69.57%,0.00%,4.35%,100.00%
,5,30.77%,23.08%,30.77%,0.00%,15.38%,100.00%
,ND,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%
,2,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%
,3,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,4,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,5,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,NE,14.29%,0.00%,57.14%,14.29%,14.29%,100.00%
,2,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,3,0.00%,0.00%,100.00%,0.00%,0.00%,100.00%
,4,33.33%,0.00%,66.67%,0.00%,0.00%,100.00%
,5,0.00%,0.00%,33.33%,33.33%,33.33%,100.00%
,NH,50.00%,0.00%,25.00%,0.00%,25.00%,100.00%
,2,40.00%,0.00%,40.00%,0.00%,20.00%,100.00%
,3,100.00%,0.00%,0.00%,0.00%,0.00%,100.00%
,4,50.00%,0.00%,16.67%,0.00%,33.33%,100.00%
,5,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
